id,name,type,created_at
bcb8f23e-8b9e-4333-9ac7-d5348195a9de,AGUANAMBI,filial,2026-04-21 23:34:51.359534+00
c84bb8b4-7cbc-4acb-84f8-ae20f0f68515,BEZERRA,filial,2026-04-21 23:35:02.643526+00
2987dd25-72a8-4a11-8426-f76f76f869a4,MATRIZ CD,matriz,2026-04-21 23:34:46.620708+00
4b009ec7-c3e3-4fcf-84a6-9438d99c21a6,MATRIZ CD (FILIAL),filial,2026-04-23 13:14:07.220561+00
418fc00c-8452-4ce2-841e-98824bee793c,PARANGABA,filial,2026-04-21 23:34:55.364077+00
bff06619-218d-4e46-b7d3-a6da729a4bd9,SOBRAL,filial,2026-04-21 23:34:58.992493+00
